Method,Mean,Maj W,Maj L,Pareto,Mean,Cond W,Cond L,F Maj,Unanimity,Dummett's,JR,EJR,Core,S. Coalitions,Stability
NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Borda,0.0019530769230768998,0.0,0.0,0.0,0.0019530769230768998,0.025390000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPH,0.006330769230769201,0.0,1e-05,0.0,0.006330769230769201,0.08229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNTV,0.023319999999999973,0.0,0.0037099999999999998,0.0,0.023319999999999973,0.29452999999999996,0.0,0.00492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STV,0.006407692307692274,0.0,0.00027,0.0,0.006407692307692274,0.08276,0.0,0.00027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloc,0.006330769230769201,0.0,1e-05,0.0,0.006330769230769201,0.08229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC,0.28438230769230766,0.23415000000000002,0.00655,0.50158,0.28438230769230766,0.62244,0.07086,0.23134,0.22491,0.50158,0.0,0.25102,0.25102,0.40076,0.40076
lex-CC,0.006330769230769201,0.0,1e-05,0.0,0.006330769230769201,0.08229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seq-CC,0.2756192307692307,0.22041,0.00636,0.4976,0.2756192307692307,0.62034,0.04418,0.2307,0.22444,0.4976,0.0,0.22444,0.22444,0.39627,0.39627
Monroe,0.09937461538461537,0.09129,0.0031999999999999997,0.20495,0.09937461538461537,0.32746,0.04606,0.0033399999999999997,0.0,0.20495,0.0,0.00131,0.00131,0.20400000000000001,0.20400000000000001
Greedy M.,0.015737692307692275,0.0,0.00121,0.0,0.015737692307692275,0.20222,0.0,0.00116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAV,0.006330769230769201,0.0,1e-05,0.0,0.006330769230769201,0.08229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MES,0.00632923076923075,0.0,1e-05,0.0,0.00632923076923075,0.08227000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAV,0.13212846153846153,0.22200999999999999,0.00493,0.24906999999999999,0.13212846153846153,0.5270699999999999,0.08152,0.1827,0.0,0.10066,0.0,0.0,0.0,0.10065,0.24906
RSD,0.0433207692307692,0.09747,0.00268,0.0,0.0433207692307692,0.36218,0.0,0.10084000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random,0.36765615384615385,0.44526,0.00754,0.65191,0.36765615384615385,0.81717,0.12729,0.40871,0.22481,0.50125,0.07585,0.24972,0.24972,0.43482000000000004,0.58548
