,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
Random Choice,0.24993656565656563,0.1058888888888889,0.8464088888888888,4.444444444444445e-06,0.2049466666666667,0.7340488888888889,0.3028222222222222,0.01710666666666667,0.1229688888888889,0.1734,0.24170666666666665,0.0
Borda ranking,0.03351959595959592,0.0,0.14950666666666668,4.444444444444445e-06,0.03431111111111111,0.12270666666666667,0.03138666666666667,0.0016488888888888888,0.004906666666666667,0.02291111111111111,0.0013333333333333335,0.0
Plurality ranking,0.12859676767676764,0.018995555555555557,0.6264533333333333,0.0,0.0009822222222222222,0.5440488888888889,0.0040977777777777774,0.0,0.06742666666666666,0.0,0.15255999999999997,0.0
Approval Voting (AV),0.0698335353535353,0.005582222222222222,0.28280444444444447,4.444444444444445e-06,0.08280444444444444,0.2402355555555556,0.08943111111111111,9.777777777777778e-05,0.0020533333333333337,0.06515555555555556,0.0,0.0
Proportional Approval Voting (PAV),0.08295595959595954,0.005604444444444445,0.35955999999999994,4.444444444444445e-06,0.09026666666666666,0.3044044444444445,0.07858222222222222,0.00047111111111111117,0.0023466666666666666,0.07127555555555556,0.0,0.0
Approval Chamberlin-Courant (CC),0.2134868686868686,0.0579511111111111,0.7426444444444444,0.0,0.2009911111111111,0.6429288888888889,0.2157822222222222,0.009422222222222222,0.09501777777777778,0.1696,0.21401777777777775,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.12274343434343431,0.005617777777777778,0.5272133333333333,4.444444444444445e-06,0.12954222222222223,0.45790222222222227,0.10822222222222222,0.005720000000000001,0.010608888888888888,0.10534666666666667,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.19582101010101008,0.037608888888888886,0.7147244444444445,4.444444444444445e-06,0.19078666666666666,0.6210177777777778,0.19785777777777777,0.007146666666666667,0.08886222222222223,0.16048,0.13554222222222223,0.0
Monroe's Approval Rule (Monroe),0.19467272727272722,0.050928888888888885,0.6957511111111111,0.0,0.1830622222222222,0.6008311111111112,0.18635555555555555,0.006648888888888889,0.07468000000000001,0.15401777777777778,0.18912444444444443,0.0
Greedy Monroe,0.11729575757575751,0.00671111111111111,0.4999688888888889,4.444444444444445e-06,0.11738222222222222,0.4339288888888889,0.10507555555555556,0.001551111111111111,0.01948,0.09499111111111111,0.011159999999999998,0.0
Minimax Approval Voting (MAV),0.22808080808080802,0.09083111111111113,0.8169466666666667,4.444444444444445e-06,0.18988000000000002,0.7107155555555555,0.2554177777777778,0.01636888888888889,0.09789333333333333,0.1598488888888889,0.17098222222222223,0.0
NN,0.00013819491208380056,8.127572016460906e-07,4.228600823045267e-05,4.11522633744856e-08,0.0005187386831275721,0.0,0.0005544423868312757,1.0082304526748976e-07,2.2386831275720163e-06,0.00038177366255144027,1.970987654320987e-05,0.0
