,majority,majority_loser,condorcet_winner,condorcet_loser,count_viols
Neural Network,0,0,68,0,0
Random Choice,0,0,575,100,0
Borda ranking,0,0,66,0,0
Plurality ranking,0,0,222,0,0
Approval Voting (AV),0,0,94,0,0
Proportional Approval Voting (PAV),0,0,94,0,0
Approval Chamberlin-Courant (CC),0,0,597,80,0
Lexicographic Chamberlin-Courant (lex-CC),0,0,195,0,0
Sequential Approval Chamberlin-Courant (seq-CC),0,0,486,3,0
Monroe's Approval Rule (Monroe),0,0,474,17,0
Greedy Monroe,0,0,232,0,0
Minimax Approval Voting (MAV),0,0,527,43,0
