Axiom,1,2,3,4,5
mean_violations,4.164985886892839e-05,0.0001160500034717,0.0001668749222304,0.0001352150414636,6.251241199068053e-05
majority,0.0,1.98997487421324e-05,8.717797887081348e-06,8.717797887081348e-06,0.0
majority_loser,8.879189152169245e-05,0.0001855909480551,4.8e-05,0.0,0.0
fixed_majority,0.0,0.0,0.0,1.2e-05,0.0
condorcet_winner,6.308724118235001e-05,0.0010926005674536,0.0011826005242684,0.0011181842424216,0.0003331005854092
condorcet_loser,0.0003486832373372,0.0,0.0,0.0,1.42828568570857e-05
dummetts_condition,0.0,1.98997487421324e-05,0.000251236939959,0.0002966142275751,0.0001847268253394
solid_coalitions,0.0,1.98997487421324e-05,0.0002045385049324,0.0002795639461733,0.0001837824801225
consensus_committee,0.0,0.0,0.0,0.0,0.0
strong_unanimity,0.0,0.0,0.0,0.0,0.0
local_stability,0.0,0.000543617512595,0.0003128897569432,0.0004011782646156,0.0001837824801225
strong_pareto_efficiency,3.2e-05,0.000264386081328,0.0002903515111033,0.0001376807902359,8.708616422830896e-05
